Model,MDO34
Firmware Version,1.8.31

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.2
Horizontal Delay,0
Sample Interval,0.002
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-0.02
,
,
,
Label,
TIME,CH2
-1.000e+00,0.01
-9.980e-01,0.01
-9.960e-01,0.01
-9.940e-01,0.01
-9.920e-01,0.01
-9.900e-01,-0.01
-9.880e-01,0.01
-9.860e-01,0.01
-9.840e-01,0.01
-9.820e-01,0.01
-9.800e-01,0.01
-9.780e-01,0.01
-9.760e-01,0.01
-9.740e-01,0.01
-9.720e-01,0.01
-9.700e-01,0.01
-9.680e-01,0.01
-9.660e-01,0.01
-9.640e-01,0.01
-9.620e-01,0.01
-9.600e-01,-0.01
-9.580e-01,0.01
-9.560e-01,0.01
-9.540e-01,0.01
-9.520e-01,0.01
-9.500e-01,-0.01
-9.480e-01,0.01
-9.460e-01,0.01
-9.440e-01,0.01
-9.420e-01,0.01
-9.400e-01,0.01
-9.380e-01,0.01
-9.360e-01,0.01
-9.340e-01,0.03
-9.320e-01,0.01
-9.300e-01,0.01
-9.280e-01,0.01
-9.260e-01,0.01
-9.240e-01,0.01
-9.220e-01,0.01
-9.200e-01,0.01
-9.180e-01,0.01
-9.160e-01,0.01
-9.140e-01,0.01
-9.120e-01,-0.01
-9.100e-01,0.01
-9.080e-01,0.01
-9.060e-01,0.01
-9.040e-01,0.01
-9.020e-01,0.01
-9.000e-01,0.01
-8.980e-01,0.01
-8.960e-01,0.01
-8.940e-01,0.01
-8.920e-01,0.01
-8.900e-01,0.01
-8.880e-01,0.01
-8.860e-01,-0.01
-8.840e-01,0.01
-8.820e-01,0.01
-8.800e-01,0.01
-8.780e-01,0.01
-8.760e-01,-0.01
-8.740e-01,0.01
-8.720e-01,0.01
-8.700e-01,0.01
-8.680e-01,0.01
-8.660e-01,0.01
-8.640e-01,0.01
-8.620e-01,0.01
-8.600e-01,0.01
-8.580e-01,0.01
-8.560e-01,0.01
-8.540e-01,0.01
-8.520e-01,0.01
-8.500e-01,0.01
-8.480e-01,0.01
-8.460e-01,0.01
-8.440e-01,0.01
-8.420e-01,0.01
-8.400e-01,-0.01
-8.380e-01,0.01
-8.360e-01,0.01
-8.340e-01,0.01
-8.320e-01,0.01
-8.300e-01,0.01
-8.280e-01,0.01
-8.260e-01,-0.01
-8.240e-01,0.01
-8.220e-01,0.01
-8.200e-01,0.01
-8.180e-01,0.01
-8.160e-01,0.01
-8.140e-01,0.01
-8.120e-01,0.01
-8.100e-01,0.01
-8.080e-01,0.01
-8.060e-01,0.01
-8.040e-01,0.01
-8.020e-01,0.01
-8.000e-01,0.01
-7.980e-01,-0.01
-7.960e-01,0.01
-7.940e-01,0.01
-7.920e-01,0.01
-7.900e-01,0.01
-7.880e-01,0.01
-7.860e-01,0.01
-7.840e-01,0.01
-7.820e-01,0.01
-7.800e-01,0.01
-7.780e-01,0.01
-7.760e-01,-0.01
-7.740e-01,0.01
-7.720e-01,0.01
-7.700e-01,0.01
-7.680e-01,0.01
-7.660e-01,0.01
-7.640e-01,0.01
-7.620e-01,0.01
-7.600e-01,0.01
-7.580e-01,0.01
-7.560e-01,0.01
-7.540e-01,0.01
-7.520e-01,0.01
-7.500e-01,0.01
-7.480e-01,-0.01
-7.460e-01,0.01
-7.440e-01,0.01
-7.420e-01,0.01
-7.400e-01,0.01
-7.380e-01,-0.01
-7.360e-01,0.01
-7.340e-01,0.01
-7.320e-01,0.01
-7.300e-01,0.01
-7.280e-01,-0.01
-7.260e-01,0.01
-7.240e-01,0.01
-7.220e-01,0.01
-7.200e-01,0.01
-7.180e-01,0.01
-7.160e-01,0.01
-7.140e-01,-0.01
-7.120e-01,0.01
-7.100e-01,-0.01
-7.080e-01,0.01
-7.060e-01,0.01
-7.040e-01,0.01
-7.020e-01,0.01
-7.000e-01,0.01
-6.980e-01,0.01
-6.960e-01,0.01
-6.940e-01,0.01
-6.920e-01,0.01
-6.900e-01,0.01
-6.880e-01,0.01
-6.860e-01,0.01
-6.840e-01,0.01
-6.820e-01,0.01
-6.800e-01,0.01
-6.780e-01,0.01
-6.760e-01,0.01
-6.740e-01,0.01
-6.720e-01,0.01
-6.700e-01,0.03
-6.680e-01,0.01
-6.660e-01,-0.01
-6.640e-01,-0.01
-6.620e-01,0.01
-6.600e-01,0.01
-6.580e-01,0.01
-6.560e-01,0.01
-6.540e-01,0.01
-6.520e-01,-0.01
-6.500e-01,0.01
-6.480e-01,0.01
-6.460e-01,0.01
-6.440e-01,0.01
-6.420e-01,0.01
-6.400e-01,0.01
-6.380e-01,0.01
-6.360e-01,0.01
-6.340e-01,0.01
-6.320e-01,0.01
-6.300e-01,0.01
-6.280e-01,0.01
-6.260e-01,0.01
-6.240e-01,0.01
-6.220e-01,0.01
-6.200e-01,0.01
-6.180e-01,0.01
-6.160e-01,0.01
-6.140e-01,0.01
-6.120e-01,0.01
-6.100e-01,0.01
-6.080e-01,0.01
-6.060e-01,0.01
-6.040e-01,0.01
-6.020e-01,0.01
-6.000e-01,0.01
-5.980e-01,-0.01
-5.960e-01,-0.01
-5.940e-01,0.01
-5.920e-01,0.01
-5.900e-01,0.01
-5.880e-01,0.01
-5.860e-01,0.03
-5.840e-01,0.01
-5.820e-01,0.01
-5.800e-01,-0.01
-5.780e-01,0.01
-5.760e-01,0.01
-5.740e-01,0.01
-5.720e-01,0.01
-5.700e-01,0.01
-5.680e-01,0.01
-5.660e-01,0.01
-5.640e-01,0.01
-5.620e-01,0.01
-5.600e-01,0.01
